workflow_id,workflow_version,method,model_flag,preset,stage,stage_role,stage_root,budget,objective_metric,objective_direction,config_group_id,rank,is_winner,is_shortlisted,n_dataset_seeds,dataset_seeds,member_cfg_ids,member_statuses,all_completed,objective_mean,objective_std,objective_min,objective_max,mean_final_round_seconds,mean_final_train_seconds,mean_final_candidate_generation_seconds,mean_final_candidate_simulation_seconds,mean_final_acquisition_seconds,mean_final_selected_simulation_seconds,mean_final_eval_seconds,active.marker.pca_explained_variance,active.marker.k_density,active.marker.preselect_factor,active.marker.greedy_score_weight,active.marker.weights.diversity,active.marker.weights.sparsity
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_f86e9d6b56,28,False,False,3,s01;;s02;;s03,cfg_00019_8c113a95d0;;cfg_00067_1da4eb7cd0;;cfg_00115_72e3795762,completed,True,0.007879019996754343,0.0006200080543261368,0.007091055880886313,0.008606092725860876,25.94614711101167,19.660947283691105,0.0008291133757059773,5.588594708009623,0.6671821246854961,0.0,0.024193994662103552,0.9,20,5,0.7,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_320b4ee99a,29,False,False,3,s01;;s02;;s03,cfg_00023_5a81c411c1;;cfg_00071_709987df70;;cfg_00119_acc46e09a5,completed,True,0.007885487633961978,0.0005366913396961953,0.007132675257663057,0.008345628735533043,25.724517768016085,19.39274517830927,0.0008093356154859066,5.634937735972926,0.6679344483806441,0.0,0.023529501010974247,0.9,20,5,0.9,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_808ae52033,30,False,False,3,s01;;s02;;s03,cfg_00017_8c003b9ef9;;cfg_00065_9ebc8d82f0;;cfg_00113_59663bb220,completed,True,0.007889554335548577,0.00038565924384297126,0.007565296326198362,0.008431475567726401,25.862691807677038,19.65721242999037,0.000840475355895857,5.596209770029721,0.5786454936799904,0.0,0.02519952234191199,0.9,20,3,0.9,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_89c02976da,31,False,False,3,s01;;s02;;s03,cfg_00018_636ff8a9b3;;cfg_00066_93621c6a13;;cfg_00114_b01ab67dd2,completed,True,0.007912796803084633,0.0008401931505247104,0.006873355947538133,0.0089310739740161,25.9260582763236,19.53583308600355,0.0008274493350957831,5.684059616682741,0.6771805432702726,0.0,0.02365063231748839,0.9,20,5,0.7,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_8ce6bd0d32,32,False,False,3,s01;;s02;;s03,cfg_00004_ae7479ac6d;;cfg_00052_a93cd77e5c;;cfg_00100_40b53b2021,completed,True,0.007947633587696566,0.0002954446974821935,0.0075489697575699295,0.008255278552837367,25.865482813018996,19.66452256803556,0.0008556053508073092,5.590769804703693,0.5799842242849991,0.0,0.024777240313900013,0.9,10,3,0.9,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_ee2a5fd209,33,False,False,3,s01;;s02;;s03,cfg_00007_c63918e61a;;cfg_00055_6241f3822a;;cfg_00103_183f4cdeaa,completed,True,0.007966971015872203,0.00030051343081963005,0.00758867507746512,0.00832384382042521,25.918167215034675,19.553669175327133,0.0008043236642455062,5.66791973899429,0.6676367260127639,0.0,0.02359343133866787,0.9,10,5,0.7,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_ba53f2f3a5,34,False,False,3,s01;;s02;;s03,cfg_00040_33f834991f;;cfg_00088_d7b3c54347;;cfg_00136_6a2a6dbd08,completed,True,0.007995726347614734,0.001047929099434176,0.007070913631744367,0.009461015638191978,25.907436451641843,19.691505741677247,0.0008135726675391197,5.606004838327256,0.5811988989977787,0.0,0.023484958374562364,0.95,20,3,0.9,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_f264030b2d,35,False,False,3,s01;;s02;;s03,cfg_00046_3994d06360;;cfg_00094_649b7fcc45;;cfg_00142_d1ca0ade8f,completed,True,0.008055136315188446,0.0005620184705744012,0.007599541910790438,0.008846956961856828,25.99232028836074,19.676027385983616,0.0008323920580248038,5.61355909864263,0.6728108283132315,0.0,0.024412447004579008,0.95,20,5,0.9,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_854b7ed6d6,36,False,False,3,s01;;s02;;s03,cfg_00043_1683d33c22;;cfg_00091_bb675bf82b;;cfg_00139_bc8f3e69ae,completed,True,0.00807024719856184,0.001138018797326436,0.007091055880886313,0.009665970538611908,25.98952709600174,19.67231636098586,0.0008423669884602228,5.621674641035497,0.6660261627209062,0.0,0.023901947657577693,0.95,20,5,0.7,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_4ed153bd3b,37,False,False,3,s01;;s02;;s03,cfg_00039_9ea7de651d;;cfg_00087_1d7e38a8a1;;cfg_00135_ada9f68c49,completed,True,0.008078553922182463,0.00048681858886157205,0.007392773563448451,0.008474050967762414,25.700983815981697,19.51941717637237,0.0008184680482372642,5.571065434992003,0.581298232350188,0.0,0.023911474971100688,0.95,20,3,0.9,0.4,0.4
